customer_id,amount,credit_date,delay_days
CUSR-100000,318578.68,2026-02-02,1
CUSR-100000,316366.48,2026-01-03,2
CUSR-100000,318342.22,2025-12-01,0
CUSR-100000,318752.33,2025-11-02,1
CUSR-100000,318288.85,2025-10-01,0
CUSR-100000,316264.79,2025-09-02,1
CUSR-100000,315793.21,2025-08-01,0
CUSR-100000,318432.62,2025-07-03,2
CUSR-100000,324099.88,2025-06-03,2
CUSR-100000,320912.89,2025-05-01,0
CUSR-100000,321679.74,2025-04-03,2
CUSR-100000,322096.41,2025-03-03,2
CUSR-100001,188596.45,2026-02-02,1
CUSR-100001,191294.53,2026-01-01,0
CUSR-100001,193963.97,2025-12-08,7
CUSR-100001,189340.67,2025-11-01,0
CUSR-100001,188560.29,2025-10-03,2
CUSR-100001,194445.51,2025-09-01,0
CUSR-100001,190196.3,2025-08-01,0
CUSR-100001,191199.73,2025-07-01,0
CUSR-100001,194232.71,2025-06-01,0
CUSR-100001,188500.88,2025-05-01,0
CUSR-100001,190186.71,2025-04-02,1
CUSR-100001,189075.0,2025-03-03,2
CUSR-100002,213737.47,2026-02-03,2
CUSR-100002,215492.12,2026-01-02,1
CUSR-100002,216722.85,2025-12-03,2
CUSR-100002,217925.08,2025-11-03,2
CUSR-100002,218035.13,2025-10-02,1
CUSR-100002,216633.11,2025-09-02,1
CUSR-100002,213014.9,2025-08-02,1
CUSR-100002,214713.88,2025-07-01,0
CUSR-100002,210746.9,2025-06-03,2
CUSR-100002,210172.15,2025-05-03,2
CUSR-100002,212184.01,2025-04-03,2
CUSR-100002,216366.8,2025-03-02,1
CUSR-100003,250928.64,2026-02-01,0
CUSR-100003,249773.89,2026-01-03,2
CUSR-100003,248682.38,2025-12-03,2
CUSR-100003,250700.64,2025-11-01,0
CUSR-100003,250692.39,2025-10-01,0
CUSR-100003,244646.06,2025-09-03,2
CUSR-100003,249378.22,2025-08-03,2
CUSR-100003,246706.86,2025-07-02,1
CUSR-100003,245094.15,2025-06-01,0
CUSR-100003,252486.2,2025-05-01,0
CUSR-100003,251715.14,2025-04-03,2
CUSR-100003,248618.77,2025-03-10,9
CUSR-100004,336131.84,2026-02-03,2
CUSR-100004,334898.75,2026-01-03,2
CUSR-100004,333777.15,2025-12-03,2
CUSR-100004,331390.57,2025-11-01,0
CUSR-100004,326729.29,2025-10-01,0
CUSR-100004,327809.65,2025-09-15,14
CUSR-100004,326686.48,2025-08-01,0
CUSR-100004,331509.55,2025-07-03,2
CUSR-100004,335964.41,2025-06-02,1
CUSR-100004,328493.81,2025-05-03,2
CUSR-100004,327410.52,2025-04-01,0
CUSR-100004,332374.62,2025-03-02,1
CUSR-100005,57654.46,2026-02-12,11
CUSR-100005,57205.49,2026-01-11,10
CUSR-100005,57794.23,2025-12-01,0
CUSR-100005,57180.3,2025-11-03,2
CUSR-100005,57767.99,2025-10-03,2
CUSR-100005,56792.35,2025-09-01,0
CUSR-100005,57398.36,2025-08-01,0
CUSR-100005,57000.84,2025-07-02,1
CUSR-100005,57915.05,2025-06-03,2
CUSR-100005,58519.3,2025-05-02,1
CUSR-100005,56534.94,2025-04-02,1
CUSR-100005,56721.94,2025-03-01,0
CUSR-100006,63177.57,2026-02-01,0
CUSR-100006,62701.77,2026-01-02,1
CUSR-100006,62622.97,2025-12-03,2
CUSR-100006,62833.22,2025-11-01,0
CUSR-100006,63306.54,2025-10-14,13
CUSR-100006,62377.06,2025-09-01,0
CUSR-100006,63445.43,2025-08-01,0
CUSR-100006,61767.72,2025-07-03,2
CUSR-100006,61388.61,2025-06-03,2
CUSR-100006,63221.45,2025-05-12,11
CUSR-100006,63297.04,2025-04-02,1
CUSR-100006,63005.97,2025-03-01,0
CUSR-100007,214670.94,2026-02-03,2
CUSR-100007,210483.4,2026-01-01,0
CUSR-100007,215200.77,2025-12-02,1
CUSR-100007,216337.35,2025-11-03,2
CUSR-100007,217252.09,2025-10-01,0
CUSR-100007,211165.09,2025-09-03,2
CUSR-100007,211063.7,2025-08-02,1
CUSR-100007,210611.9,2025-07-02,1
CUSR-100007,209771.22,2025-06-01,0
CUSR-100007,215167.53,2025-05-02,1
CUSR-100007,209796.48,2025-04-01,0
CUSR-100007,210126.94,2025-03-01,0
CUSR-100008,187419.11,2026-02-02,1
CUSR-100008,184861.36,2026-01-01,0
CUSR-100008,188314.97,2025-12-03,2
CUSR-100008,185890.36,2025-11-03,2
CUSR-100008,183301.14,2025-10-03,2
CUSR-100008,187634.39,2025-09-02,1
CUSR-100008,189577.36,2025-08-03,2
CUSR-100008,187945.79,2025-07-02,1
CUSR-100008,185149.68,2025-06-02,1
CUSR-100008,187445.32,2025-05-02,1
CUSR-100008,188168.65,2025-04-01,0
CUSR-100008,189196.82,2025-03-13,12
CUSR-100009,376108.38,2026-02-03,2
CUSR-100009,369775.92,2026-01-03,2
CUSR-100009,376009.88,2025-12-03,2
CUSR-100009,378250.11,2025-11-01,0
CUSR-100009,369258.03,2025-10-03,2
CUSR-100009,365468.87,2025-09-03,2
CUSR-100009,376754.65,2025-08-02,1
CUSR-100009,364980.49,2025-07-01,0
CUSR-100009,375805.97,2025-06-01,0
CUSR-100009,367546.48,2025-05-01,0
CUSR-100009,369315.21,2025-04-01,0
CUSR-100009,370500.27,2025-03-06,5
CUSR-100010,153728.76,2026-02-02,1
CUSR-100010,151691.29,2026-01-02,1
CUSR-100010,150529.64,2025-12-01,0
CUSR-100010,149362.04,2025-11-03,2
CUSR-100010,153227.41,2025-10-01,0
CUSR-100010,150183.14,2025-09-03,2
CUSR-100010,149538.57,2025-08-01,0
CUSR-100010,152236.56,2025-07-02,1
CUSR-100010,151670.65,2025-06-02,1
CUSR-100010,150769.45,2025-05-02,1
CUSR-100010,153152.74,2025-04-03,2
CUSR-100010,150665.02,2025-03-03,2
CUSR-100011,146113.54,2026-02-02,1
CUSR-100011,146106.63,2026-01-03,2
CUSR-100011,148656.63,2025-12-03,2
CUSR-100011,151155.84,2025-11-03,2
CUSR-100011,150739.97,2025-10-01,0
CUSR-100011,149153.1,2025-09-01,0
CUSR-100011,149373.7,2025-08-01,0
CUSR-100011,148986.95,2025-07-01,0
CUSR-100011,150706.29,2025-06-01,0
CUSR-100011,146779.94,2025-05-03,2
CUSR-100011,146527.85,2025-04-03,2
CUSR-100011,148113.23,2025-03-01,0
CUSR-100012,164815.55,2026-02-01,0
CUSR-100012,164749.13,2026-01-13,12
CUSR-100012,164227.69,2025-12-03,2
CUSR-100012,161136.93,2025-11-01,0
CUSR-100012,164117.44,2025-10-02,1
CUSR-100012,163450.62,2025-09-02,1
CUSR-100012,162612.42,2025-08-02,1
CUSR-100012,162519.89,2025-07-09,8
CUSR-100012,162748.04,2025-06-01,0
CUSR-100012,160653.52,2025-05-02,1
CUSR-100012,163687.99,2025-04-02,1
CUSR-100012,165296.97,2025-03-03,2
CUSR-100013,81564.79,2026-02-02,1
CUSR-100013,82037.72,2026-01-03,2
CUSR-100013,83108.06,2025-12-03,2
CUSR-100013,83958.0,2025-11-03,2
CUSR-100013,82644.29,2025-10-02,1
CUSR-100013,82277.06,2025-09-01,0
CUSR-100013,81167.13,2025-08-03,2
CUSR-100013,81999.37,2025-07-03,2
CUSR-100013,81317.19,2025-06-02,1
CUSR-100013,82806.04,2025-05-01,0
CUSR-100013,83402.06,2025-04-03,2
CUSR-100013,83028.48,2025-03-02,1
CUSR-100014,393882.11,2026-02-03,2
CUSR-100014,395932.69,2026-01-01,0
CUSR-100014,393919.33,2025-12-01,0
CUSR-100014,395939.4,2025-11-02,1
CUSR-100014,392664.51,2025-10-01,0
CUSR-100014,390382.97,2025-09-03,2
CUSR-100014,385300.54,2025-08-02,1
CUSR-100014,398458.48,2025-07-02,1
CUSR-100014,391177.95,2025-06-03,2
CUSR-100014,393033.11,2025-05-03,2
CUSR-100014,397642.47,2025-04-01,0
CUSR-100014,399118.17,2025-03-02,1
CUSR-100015,286730.59,2026-02-01,0
CUSR-100015,289985.48,2026-01-02,1
CUSR-100015,287139.54,2025-12-03,2
CUSR-100015,284689.06,2025-11-01,0
CUSR-100015,280924.17,2025-10-10,9
CUSR-100015,291214.15,2025-09-02,1
CUSR-100015,288225.23,2025-08-13,12
CUSR-100015,281053.87,2025-07-01,0
CUSR-100015,283483.57,2025-06-02,1
CUSR-100015,281023.87,2025-05-01,0
CUSR-100015,281462.72,2025-04-01,0
CUSR-100015,288868.18,2025-03-03,2
CUSR-100016,224032.25,2026-02-01,0
CUSR-100016,221614.91,2026-01-03,2
CUSR-100016,229379.35,2025-12-13,12
CUSR-100016,229196.77,2025-11-02,1
CUSR-100016,221466.67,2025-10-03,2
CUSR-100016,222472.07,2025-09-08,7
CUSR-100016,227543.7,2025-08-03,2
CUSR-100016,227059.89,2025-07-01,0
CUSR-100016,226891.52,2025-06-01,0
CUSR-100016,222480.17,2025-05-02,1
CUSR-100016,226973.12,2025-04-03,2
CUSR-100016,224776.16,2025-03-01,0
CUSR-100017,164777.57,2026-02-02,1
CUSR-100017,161969.34,2026-01-01,0
CUSR-100017,158945.75,2025-12-06,5
CUSR-100017,163484.59,2025-11-01,0
CUSR-100017,162050.81,2025-10-03,2
CUSR-100017,159742.48,2025-09-02,1
CUSR-100017,161016.77,2025-08-01,0
CUSR-100017,158671.82,2025-07-01,0
CUSR-100017,162031.58,2025-06-02,1
CUSR-100017,162127.9,2025-05-03,2
CUSR-100017,162374.69,2025-04-01,0
CUSR-100017,162848.45,2025-03-01,0
CUSR-100018,296102.04,2026-02-03,2
CUSR-100018,292931.12,2026-01-03,2
CUSR-100018,291393.95,2025-12-03,2
CUSR-100018,290949.82,2025-11-02,1
