customer_id,bill_date,payment_date,amount,category,days_past_due
CUSR-100000,2026-01-20,2026-01-24,1126,Electricity,4
CUSR-100000,2025-12-21,2025-12-24,2927,Electricity,3
CUSR-100000,2025-11-21,2025-11-21,1077,Electricity,0
CUSR-100001,2026-01-20,2026-02-05,2639,Electricity,16
CUSR-100001,2025-12-21,2025-12-27,1984,Electricity,6
CUSR-100001,2025-11-21,2025-11-30,1332,Electricity,9
CUSR-100002,2026-01-20,2026-01-22,1602,Electricity,2
CUSR-100002,2025-12-21,2025-12-21,2020,Electricity,0
CUSR-100002,2025-11-21,2025-11-22,1051,Electricity,1
CUSR-100003,2026-01-20,2026-01-20,1363,Electricity,0
CUSR-100003,2025-12-21,2025-12-23,2512,Electricity,2
CUSR-100003,2025-11-21,2025-11-21,2900,Electricity,0
CUSR-100004,2026-01-20,2026-01-24,1025,Electricity,4
CUSR-100004,2025-12-21,2025-12-25,1854,Electricity,4
CUSR-100004,2025-11-21,2025-11-24,2629,Electricity,3
CUSR-100005,2026-01-20,2026-01-24,2291,Electricity,4
CUSR-100005,2025-12-21,2025-12-22,1539,Electricity,1
CUSR-100005,2025-11-21,2025-11-23,2792,Electricity,2
CUSR-100006,2026-01-20,2026-01-24,946,Electricity,4
CUSR-100006,2025-12-21,2025-12-24,1525,Electricity,3
CUSR-100006,2025-11-21,2025-11-22,1000,Electricity,1
CUSR-100007,2026-01-20,2026-01-20,810,Electricity,0
CUSR-100007,2025-12-21,2025-12-21,996,Electricity,0
CUSR-100007,2025-11-21,2025-11-21,2503,Electricity,0
CUSR-100008,2026-01-20,2026-01-26,1145,Electricity,6
CUSR-100008,2025-12-21,2026-01-01,1305,Electricity,11
CUSR-100008,2025-11-21,2025-12-07,1259,Electricity,16
CUSR-100009,2026-01-20,2026-01-30,1365,Electricity,10
CUSR-100009,2025-12-21,2026-01-02,892,Electricity,12
CUSR-100009,2025-11-21,2025-11-29,2511,Electricity,8
CUSR-100010,2026-01-20,2026-01-20,827,Electricity,0
CUSR-100010,2025-12-21,2025-12-24,2764,Electricity,3
CUSR-100010,2025-11-21,2025-11-21,1549,Electricity,0
CUSR-100011,2026-01-20,2026-01-23,2140,Electricity,3
CUSR-100011,2025-12-21,2025-12-22,2362,Electricity,1
CUSR-100011,2025-11-21,2025-11-23,2426,Electricity,2
CUSR-100012,2026-01-20,2026-01-22,1850,Electricity,2
CUSR-100012,2025-12-21,2025-12-22,1847,Electricity,1
CUSR-100012,2025-11-21,2025-11-24,2068,Electricity,3
CUSR-100013,2026-01-20,2026-01-21,2709,Electricity,1
CUSR-100013,2025-12-21,2025-12-22,1392,Electricity,1
CUSR-100013,2025-11-21,2025-11-24,2949,Electricity,3
CUSR-100014,2026-01-20,2026-01-22,2437,Electricity,2
CUSR-100014,2025-12-21,2025-12-24,1939,Electricity,3
CUSR-100014,2025-11-21,2025-11-22,1138,Electricity,1
CUSR-100015,2026-01-20,2026-01-21,974,Electricity,1
CUSR-100015,2025-12-21,2025-12-22,2767,Electricity,1
CUSR-100015,2025-11-21,2025-11-25,834,Electricity,4
CUSR-100016,2026-01-20,2026-02-03,1514,Electricity,14
CUSR-100016,2025-12-21,2025-12-30,1167,Electricity,9
CUSR-100016,2025-11-21,2025-12-04,961,Electricity,13
CUSR-100017,2026-01-20,2026-01-23,1589,Electricity,3
CUSR-100017,2025-12-21,2025-12-24,1013,Electricity,3
CUSR-100017,2025-11-21,2025-11-25,1824,Electricity,4
CUSR-100018,2026-01-20,2026-01-20,1462,Electricity,0
CUSR-100018,2025-12-21,2025-12-22,1995,Electricity,1
CUSR-100018,2025-11-21,2025-11-22,1722,Electricity,1
CUSR-100019,2026-01-20,2026-01-21,2060,Electricity,1
CUSR-100019,2025-12-21,2025-12-24,2691,Electricity,3
CUSR-100019,2025-11-21,2025-11-25,1514,Electricity,4
CUSR-100020,2026-01-20,2026-01-22,2614,Electricity,2
CUSR-100020,2025-12-21,2025-12-21,1797,Electricity,0
CUSR-100020,2025-11-21,2025-11-23,1569,Electricity,2
CUSR-100021,2026-01-20,2026-01-20,1246,Electricity,0
CUSR-100021,2025-12-21,2025-12-23,1172,Electricity,2
CUSR-100021,2025-11-21,2025-11-21,999,Electricity,0
CUSR-100022,2026-01-20,2026-01-24,1627,Electricity,4
CUSR-100022,2025-12-21,2025-12-21,2407,Electricity,0
CUSR-100022,2025-11-21,2025-11-25,2393,Electricity,4
CUSR-100023,2026-01-20,2026-02-05,2615,Electricity,16
CUSR-100023,2025-12-21,2026-01-09,1351,Electricity,19
CUSR-100023,2025-11-21,2025-12-05,2603,Electricity,14
CUSR-100024,2026-01-20,2026-01-21,2527,Electricity,1
CUSR-100024,2025-12-21,2025-12-21,2023,Electricity,0
CUSR-100024,2025-11-21,2025-11-23,2829,Electricity,2
CUSR-100025,2026-01-20,2026-01-22,891,Electricity,2
CUSR-100025,2025-12-21,2025-12-24,2774,Electricity,3
CUSR-100025,2025-11-21,2025-11-23,993,Electricity,2
CUSR-100026,2026-01-20,2026-01-30,1115,Electricity,10
CUSR-100026,2025-12-21,2025-12-27,1774,Electricity,6
CUSR-100026,2025-11-21,2025-12-10,1210,Electricity,19
CUSR-100027,2026-01-20,2026-02-03,2347,Electricity,14
CUSR-100027,2025-12-21,2026-01-07,2211,Electricity,17
CUSR-100027,2025-11-21,2025-12-09,2992,Electricity,18
CUSR-100028,2026-01-20,2026-01-23,2126,Electricity,3
CUSR-100028,2025-12-21,2025-12-21,2846,Electricity,0
CUSR-100028,2025-11-21,2025-11-25,2688,Electricity,4
CUSR-100029,2026-01-20,2026-01-21,936,Electricity,1
CUSR-100029,2025-12-21,2025-12-23,1188,Electricity,2
CUSR-100029,2025-11-21,2025-11-24,1541,Electricity,3
CUSR-100030,2026-01-20,2026-01-22,2394,Electricity,2
CUSR-100030,2025-12-21,2025-12-24,1908,Electricity,3
CUSR-100030,2025-11-21,2025-11-22,1549,Electricity,1
CUSR-100031,2026-01-20,2026-01-22,1562,Electricity,2
